REGION,LOCALITE,NOM_BANQUE,CATEGORIE,NOM GUICHET,ADRESSE GUICHET,latitude,longitude
LOCALITE,BANQUE,CATEGORIE,CODE GUICHET,ADRESSE GUICHET,,,
BEN GUERIR,AL BARID BANK,BANQUE CONVENTIONNELLE,2011022,AVENUE HASSAN II BENGUERIR,,,
BEN TAIEB,AL BARID BANK,BANQUE CONVENTIONNELLE,5230431,BD HASSAN II QUARTIER ADMINISTRATIF BEN TAIEB,,,
BENI MELLAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0900784,CENTRE FOUM OUDI 23006 BENI MELLAL,,,
BENI MELLAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0900800,CENTRE FOUM EL ANSER  23252 BENI MELLAL,,,
BENI MELLAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0900801,CENTRE SIDI JABER  236022 BENI MELLAL,,,
BENI MELLAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0900803,"BD IBN KHALDOUNE OULAD HAMDANE, 23004 BENI MELLAL",,,
BENI MELLAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0900806,"BENI MELLAL PPAL              _x000D_
_x000D_
_x000D_
              _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
BENI MELLAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0900812,"BENI MELLAL AIN ASSERDOUNE            _x000D_
          _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
BENI MELLAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0900831,COMMUNE SIDI  AISSA BEN ALI  BENI MELLAL,,,
BENI MELLAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0900833,"BENI MELLAL HAY MOHAMMADI     _x000D_
",,,
BENSLIMANE,AL BARID BANK,BANQUE CONVENTIONNELLE,1100925,"BENSLIMANE PPAL               _x000D_
_x000D_
_x000D_
",,,
BENSLIMANE,AL BARID BANK,BANQUE CONVENTIONNELLE,1100929,"BENSLIMANE FATH               _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
BERKANE,AL BARID BANK,BANQUE CONVENTIONNELLE,5750391,BERKANE PPAL,,,
BERKANE,AL BARID BANK,BANQUE CONVENTIONNELLE,5750392,"N° 27 RUE SLIMANIA LOT LAHBIL, 63306 BERKANE",,,
BERKANE,AL BARID BANK,BANQUE CONVENTIONNELLE,5750399,SIDI BOUHOURIA CENTRE 63652 BERKANE,,,
BERKANE,AL BARID BANK,BANQUE CONVENTIONNELLE,5750401,"AIN REGADA                    _x000D_
_x000D_
  _x000D_
    _x000D_
",,,
BERKANE,AL BARID BANK,BANQUE CONVENTIONNELLE,5750413,"BERKANE EL OUIDADIYA    _x000D_
       _x000D_
_x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
BERRECHID,AL BARID BANK,BANQUE CONVENTIONNELLE,6210818,"BERRECHID PPAL                        _x000D_
          _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
BERRECHID,AL BARID BANK,BANQUE CONVENTIONNELLE,6210819,"BERRECHID YASMINA                     _x000D_
          _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
BERRECHID,AL BARID BANK,BANQUE CONVENTIONNELLE,6210823,"BERRECHID HAY HASSANI                _x000D_
          _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
BERRECHID,AL BARID BANK,BANQUE CONVENTIONNELLE,6210990,QUARTIER SIDI OMAR ROUTE DEROUA BERRECHID,,,
BERRECHID,AL BARID BANK,BANQUE CONVENTIONNELLE,6211033,BD BRAHIM ROUDANI LOT 5 AL FATEH BERRECHID,,,
BHALIL,AL BARID BANK,BANQUE CONVENTIONNELLE,2860275,RUE ABDELAZIZ BEN DRISS MSILA 31102 BHALIL,,,
BIOUGRA,AL BARID BANK,BANQUE CONVENTIONNELLE,0110615,"BIOUGRA                       _x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
BIOUGRA,AL BARID BANK,BANQUE CONVENTIONNELLE,0111040,AVENUE HASSAN II TIREST 3 BIOUGRA  PROVINCE CHTOUKA AIT BAHA,,,
BIR GANDOUZ,AL BARID BANK,BANQUE CONVENTIONNELLE,5420962,"CENTRE BIR GANDOUZ 74004 AOUSSERD_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
BNI AHMED CHERQIA,AL BARID BANK,BANQUE CONVENTIONNELLE,1520480,CENTRE BNI AHMED CHERQIA,,,
BNI AMMART,AL BARID BANK,BANQUE CONVENTIONNELLE,0620471,CENTRE BNI AMMART,,,
BNI ANSAR,AL BARID BANK,BANQUE CONVENTIONNELLE,5110437,RUE MOULAY ISMAIL QUARTIER KALEFA 62052 BNI ANSAR,,,
BNI BOUAYACH,AL BARID BANK,BANQUE CONVENTIONNELLE,0550468,BENI BOUAYACH,,,
BNI BOUFRAH,AL BARID BANK,BANQUE CONVENTIONNELLE,0510476,CENTRE BNI BOUFRAH,,,
BNI CHIKER,AL BARID BANK,BANQUE CONVENTIONNELLE,5080448,BD BIR ANZARANE HAD BNI CHIKER CENTRE,,,
BNI DRAR,AL BARID BANK,BANQUE CONVENTIONNELLE,5710090,"BENI DRAR                        _x000D_
      _x000D_
                  _x000D_
       _x000D_
                  _x000D_
      _x000D_
",,,
BNI FRASSEN,AL BARID BANK,BANQUE CONVENTIONNELLE,6920307,CENTRE BENI FRASSEN,,,
BNI GARFETT,AL BARID BANK,BANQUE CONVENTIONNELLE,7370328,CENTRE BNI GARFETT,,,
BNI HADIFA,AL BARID BANK,BANQUE CONVENTIONNELLE,0560466,"BNI HADIFA                    _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
BNI HILAL,AL BARID BANK,BANQUE CONVENTIONNELLE,1810899,"CENTRE BNI HILAL  QUARTIER ADMINISTRATIF 24352 EL JADIDA_x000D_
   _x000D_
_x000D_
",,,
BNI LENT,AL BARID BANK,BANQUE CONVENTIONNELLE,6930306,CENTRE BENI LENT,,,
BNI OUKIL,AL BARID BANK,BANQUE CONVENTIONNELLE,1030836,"QUARTIER ADMINISTRATIF BNI OUKIL                       _x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
BNI OULID,AL BARID BANK,BANQUE CONVENTIONNELLE,6620285,BNI OULID CENTRE,,,
BNI TADJITE,AL BARID BANK,BANQUE CONVENTIONNELLE,3150204,CENTRE BENI TAJJIT,,,
BNI YAKHLEF,AL BARID BANK,BANQUE CONVENTIONNELLE,1220927,CENTRE BNI YAKHLEF 28815 MOHAMMEDIA,,,
BOUANANE,AL BARID BANK,BANQUE CONVENTIONNELLE,3160407,CENTRE BOUANANE,,,
BOUARFA,AL BARID BANK,BANQUE CONVENTIONNELLE,3120404,"BOUARFA                                _x000D_
_x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
BOUAROUSS,AL BARID BANK,BANQUE CONVENTIONNELLE,6780289,CENTRE SEBT SMARA BOUAROUSS,,,
BOUCHANE,AL BARID BANK,BANQUE CONVENTIONNELLE,2050754,CENTRE TNINN BOUCHANE EL KELAA DES SRAGHNA,,,
BOUDINAR,AL BARID BANK,BANQUE CONVENTIONNELLE,5270443,BOUDINAR,,,
BOUDNIB,AL BARID BANK,BANQUE CONVENTIONNELLE,2120202,AVENUE PRINCE HERITIER SIDI MOHAMED 52152 BOUDNIB,,,
BOUFAKRANE,AL BARID BANK,BANQUE CONVENTIONNELLE,4810066,"BOUFEKRANE                    _x000D_
                _x000D_
     _x000D_
                _x000D_
                      _x000D_
",,,
BOUGUEDRA,AL BARID BANK,BANQUE CONVENTIONNELLE,5950908,"CENTRE TLET BOUGUEDRA ROUTE DE CASA 46252 SAFI_x000D_
   _x000D_
_x000D_
",,,
